«БИРИМДИК»,«МЕКЕНЧИЛ»,«ЫЙМАН НУРУ»,«МЕКЕНИМ КЫРГЫЗСТАН»,«РЕФОРМА» партиясы,«АТА МЕКЕН» саясий социалисттик партиясы,«ЗАМАНДАШ»,«БҮТҮН КЫРГЫЗСТАН» саясий партиясы,СОЦИАЛ-ДЕМОКРАТТАР,«МЕКЕН ЫНТЫМАГЫ»,«АФГАНИСТАН СОГУШУНУН АРДАГЕРЛЕРИ ЖАНА УШУЛ СЫЯКТУУ КАГЫШУУЛАРГА КАТЫШКАНДАРДЫН САЯСИЙ ПАРТИЯСЫ»,«ОРДО»,«БИР БОЛ»,РЕСПУБЛИКА,«КЫРГЫЗСТАН»,«ЧОҢ КАЗАТ»,БААРЫНА КАРШЫ,total,form2_percent,level_one
86.0,107.0,80.0,207.0,86.0,72.00000000000001,62.99999999999999,75.99999999999999,91.0,32.00000000000001,3.9999999999999996,7.999999999999999,25.999999999999996,170.99999999999997,12.999999999999998,120.0,46.99999999999999,1289.0,10.470743510778707,БИШКЕК Г.
117.99999999999999,108.0,79.0,195.0,72.99999999999999,87.00000000000001,56.0,93.0,92.0,26.0,3.0,8.0,35.00000000000001,154.99999999999997,50.99999999999999,115.0,65.0,1359.0,3.4452296819787986,БИШКЕК Г.
119.99999999999999,106.0,77.00000000000001,225.0,63.99999999999999,95.99999999999999,59.00000000000001,55.00000000000001,102.00000000000001,31.999999999999996,0.0,2.0,33.00000000000001,147.0,31.0,98.99999999999999,47.0,1295.0,26.379230412610106,БИШКЕК Г.
251.99999999999997,83.99999999999999,58.0,130.99999999999997,63.99999999999999,51.0,30.0,49.0,97.0,8.0,10.0,5.0,14.0,118.99999999999999,9.0,96.0,57.0,1134.0,29.33848797250859,БИШКЕК Г.
347.00000000000006,40.99999999999999,45.0,260.99999999999994,51.99999999999999,49.00000000000001,15.0,50.99999999999999,76.00000000000001,12.0,2.9999999999999996,7.0,20.0,141.99999999999997,7.999999999999997,66.0,66.0,1261.0,29.120636323464428,БИШКЕК Г.
284.99999999999994,51.99999999999999,44.00000000000001,479.0,90.00000000000001,62.0,19.000000000000004,77.99999999999999,72.00000000000001,12.999999999999998,9.999999999999998,4.0,12.999999999999998,121.00000000000001,12.999999999999998,66.99999999999999,64.0,1486.0,38.601455133387226,БИШКЕК Г.
289.00000000000006,67.0,57.0,239.0,54.0,52.00000000000001,21.999999999999996,61.0,54.0,10.999999999999998,12.0,13.000000000000002,37.0,91.0,7.0,59.00000000000001,56.00000000000001,1181.0,20.821529745042493,БИШКЕК Г.
270.0,88.0,64.0,265.0,65.99999999999999,52.0,17.0,97.99999999999999,66.99999999999999,10.0,3.0,5.0,24.999999999999996,118.0,32.99999999999999,48.99999999999999,57.0,1287.0,26.45778938207137,БИШКЕК Г.
147.99999999999997,58.00000000000002,55.0,129.00000000000003,74.99999999999999,60.0,22.0,103.0,70.00000000000003,12.0,6.0,4.000000000000001,26.000000000000004,115.00000000000001,31.0,56.99999999999998,60.0,1031.0,4.310712761416987,БИШКЕК Г.
286.00000000000006,109.00000000000001,76.00000000000001,126.0,74.0,63.0,21.999999999999996,94.0,67.00000000000001,8.000000000000002,4.000000000000001,4.000000000000001,21.0,115.0,111.00000000000001,50.0,68.0,1298.0,25.65071368597817,БИШКЕК Г.
237.00000000000009,74.0,53.00000000000001,93.00000000000001,80.99999999999999,79.00000000000001,24.00000000000001,92.00000000000001,72.0,11.0,10.0,3.9999999999999996,49.0,119.99999999999999,53.00000000000001,54.99999999999999,42.0,1149.0,15.825491873396064,БИШКЕК Г.
284.00000000000006,81.00000000000001,58.00000000000001,192.0,82.00000000000001,65.0,20.999999999999996,64.0,91.0,8.0,9.999999999999998,0.0,24.0,117.00000000000001,59.99999999999998,59.0,53.99999999999998,1270.0,20.926315789473684,БИШКЕК Г.
